"Countries, territories and areas","Data Source","Beverage Types","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Antigua and Barbuda","(FAO) 1962-1999; (FAO, GlobalData, IWSR) 2000-2018","All types","7.64","8.41","8.11","7.70","7.44","6.72","6.91","6.67","6.85","6.86"
"Antigua and Barbuda","(FAO) 1962-1999; (FAO, GlobalData, IWSR) 2000-2018","Beer","2.71","2.77","2.73","2.44","2.24","1.82","1.73","1.63","1.75","1.78"
"Antigua and Barbuda","(FAO) 1962-1999; (FAO, GlobalData, IWSR) 2000-2018","Wine","1.64","2.00","1.76","1.62","1.59","1.40","1.49","1.33","1.26","1.23"
"Antigua and Barbuda","(FAO) 1962-1999; (FAO, GlobalData, IWSR) 2000-2018","Spirits","3.04","3.34","3.33","3.35","3.31","3.22","3.69","3.71","3.84","3.84"
"Antigua and Barbuda","(FAO) 1962-1999; (FAO, GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.25","0.29","0.29","0.29","0.29","0.28","0","0","0","0"
"Argentina","(FAO) 1961-1979; (WDT) 1980-1999; WHO 2000-2010; Republica Argentina 2011-2018","All types","8.34","8.42","8.16","7.80","7.60","7.63","7.62","7.81","7.76","7.68"
"Argentina","(FAO) 1961-1979; (WDT) 1980-1999; WHO 2000-2010; Republica Argentina 2011-2018","Beer","3.23","3.16","2.75","2.57","2.42","2.04","2.03","2.08","1.90","1.79"
"Argentina","(FAO) 1961-1979; (WDT) 1980-1999; WHO 2000-2010; Republica Argentina 2011-2018","Wine","4.31","4.45","4.65","4.67","4.64","5.03","5.08","5.28","5.32","5.30"
"Argentina","(FAO) 1961-1979; (WDT) 1980-1999; WHO 2000-2010; Republica Argentina 2011-2018","Spirits","0.41","0.44","0.44","0.30","0.32","0.52","0.46","0.41","0.49","0.52"
"Argentina","(FAO) 1961-1979; (WDT) 1980-1999; WHO 2000-2010; Republica Argentina 2011-2018","Other alcoholic beverages","0.39","0.37","0.32","0.26","0.22","0.04","0.04","0.04","0.05","0.06"
"Armenia","(FAO) 1990-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","3.97","3.96","3.91","3.99","4.17","3.73","3.00","2.87","2.87","2.91"
"Armenia","(FAO) 1990-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","0.33","0.42","0.38","0.36","0.28","0.22","0.17","0.17","0.24","0.18"
"Armenia","(FAO) 1990-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","0.23","0.18","0.18","0.22","0.36","0.34","0.12","0.22","0.29","0.20"
"Armenia","(FAO) 1990-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","3.41","3.36","3.35","3.41","3.53","3.17","2.71","2.48","2.34","2.52"
"Armenia","(FAO) 1990-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Australia","(WDT) 1961-1989;  (NDRI) 1990-1999; Australia 2000-2018","All types","10.62","10.76","10.56","10.31","10.30","9.84","9.97","9.84","9.53","10.17"
"Australia","(WDT) 1961-1989;  (NDRI) 1990-1999; Australia 2000-2018","Beer","4.68","4.69","4.63","4.63","4.62","4.57","4.96","4.97","4.80","5.07"
"Australia","(WDT) 1961-1989;  (NDRI) 1990-1999; Australia 2000-2018","Wine","3.78","3.71","3.70","3.53","3.53","3.13","3.00","3.01","2.91","2.95"
"Australia","(WDT) 1961-1989;  (NDRI) 1990-1999; Australia 2000-2018","Spirits","1.32","1.19","1.15","1.16","1.21","1.20","2.01","1.86","1.81","2.07"
"Australia","(WDT) 1961-1989;  (NDRI) 1990-1999; Australia 2000-2018","Other alcoholic beverages","0.84","1.17","1.08","0.99","0.94","0.94","0","0","0.01","0.08"
"Austria","(FAO) 1960-1962;  (WDT) 1963-1999;  (Anton Proksch Institute) 2000-2017; WHO  2018","All types","11.87","12.03","12.54","12.58","12.14","12.17","12.31","12.09","12.35","13.35"
"Austria","(FAO) 1960-1962;  (WDT) 1963-1999;  (Anton Proksch Institute) 2000-2017; WHO  2018","Beer","6.11","6.37","6.39","6.41","6.43","6.68","6.69","6.58","6.59","6.85"
"Austria","(FAO) 1960-1962;  (WDT) 1963-1999;  (Anton Proksch Institute) 2000-2017; WHO  2018","Wine","4.00","3.89","4.38","4.39","4.05","3.82","4.06","3.95","4.20","4.33"
"Austria","(FAO) 1960-1962;  (WDT) 1963-1999;  (Anton Proksch Institute) 2000-2017; WHO  2018","Spirits","1.76","1.77","1.78","1.78","1.67","1.67","1.55","1.56","1.56","2.16"
"Austria","(FAO) 1960-1962;  (WDT) 1963-1999;  (Anton Proksch Institute) 2000-2017; WHO  2018","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","(FAO) 1990-1999; (GlobalData, IWSR, OIV) 2000-2008; Statistical Yearbook 2009-2017","All types","1.92","1.12","0.95","0.85","0.73","0.63","0.55","0.55","0.50","0.66"
"Azerbaijan","(FAO) 1990-1999; (GlobalData, IWSR, OIV) 2000-2008; Statistical Yearbook 2009-2017","Beer","0.28","0.47","0.35","0.30","0.30","0.25","0.24","0.22","0.20","0.17"
"Azerbaijan","(FAO) 1990-1999; (GlobalData, IWSR, OIV) 2000-2008; Statistical Yearbook 2009-2017","Wine","0.17","0.12","0.10","0.07","0.04","0.02","0.04","0.08","0.05","0.06"
"Azerbaijan","(FAO) 1990-1999; (GlobalData, IWSR, OIV) 2000-2008; Statistical Yearbook 2009-2017","Spirits","1.46","0.54","0.51","0.47","0.40","0.35","0.28","0.25","0.25","0.43"
"Azerbaijan","(FAO) 1990-1999; (GlobalData, IWSR, OIV) 2000-2008; Statistical Yearbook 2009-2017","Other alcoholic beverages","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bahamas","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","8.75","9.65","9.92","9.82","9.83","9.61","10.59","10.94","11.38","11.93"
"Bahamas","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","3.15","3.63","3.84","3.79","3.82","3.73","3.56","3.60","3.69","4.04"
"Bahamas","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","1.45","1.55","1.56","1.42","1.32","1.26","1.42","1.52","1.54","1.52"
"Bahamas","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","3.69","3.97","4.12","4.20","4.29","4.54","5.53","5.74","6.07","6.29"
"Bahamas","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.46","0.50","0.40","0.41","0.41","0.08","0.08","0.08","0.07","0.08"
"Bahrain","(FAO) 1970-1999; (GlobalData, IWSR) 2000-2018","All types","1.95","1.99","1.83","1.94","1.92","1.98","2.04","1.87","1.89","1.97"
"Bahrain","(FAO) 1970-1999; (GlobalData, IWSR) 2000-2018","Beer","0.46","0.47","0.49","0.51","0.53","0.53","0.53","0.54","0.54","0.54"
"Bahrain","(FAO) 1970-1999; (GlobalData, IWSR) 2000-2018","Wine","0.11","0.11","0.10","0.10","0.10","0.10","0.09","0.12","0.12","0.12"
"Bahrain","(FAO) 1970-1999; (GlobalData, IWSR) 2000-2018","Spirits","1.36","1.39","1.23","1.32","1.27","1.33","1.41","1.20","1.23","1.30"
"Bahrain","(FAO) 1970-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Bangladesh","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","All types","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01"
"Bangladesh","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Beer","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bangladesh","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Wine","0","0","0","0","0","0","0","0","0","0"
"Bangladesh","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Spirits","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bangladesh","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Other alcoholic beverages","0","0","0","0.00","0","0","0","0.00","0","0"
"Barbados","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","8.24","8.63","8.07","8.12","7.84","7.43","7.51","7.59","7.42","7.31"
"Barbados","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","3.18","3.45","3.15","3.29","3.22","2.98","2.89","2.89","2.87","2.73"
"Barbados","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.62","0.70","0.68","0.63","0.58","0.58","0.58","0.56","0.54","0.51"
"Barbados","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","4.28","4.24","3.97","3.95","3.82","3.80","3.97","4.06","3.92","3.99"
"Barbados","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.16","0.25","0.26","0.24","0.22","0.08","0.08","0.08","0.08","0.08"
"Belarus","(FAO) 1980-1999; WHO  2000-2004; Yearbook of Statistics 2005-2018","All types","13.98","14.58","13.91","12.61","11.19","12.08","11.17","11.78","10.74","12.92"
"Belarus","(FAO) 1980-1999; WHO  2000-2004; Yearbook of Statistics 2005-2018","Beer","2.33","2.46","2.29","1.95","1.56","1.33","3.20","2.73","1.15","1.19"
"Belarus","(FAO) 1980-1999; WHO  2000-2004; Yearbook of Statistics 2005-2018","Wine","0.61","0.65","0.62","0.59","0.56","0.22","0.49","0.41","0.37","0.17"
"Belarus","(FAO) 1980-1999; WHO  2000-2004; Yearbook of Statistics 2005-2018","Spirits","6.12","6.32","6.00","5.25","4.16","3.64","3.80","4.75","4.75","5.03"
"Belarus","(FAO) 1980-1999; WHO  2000-2004; Yearbook of Statistics 2005-2018","Other alcoholic beverages","4.92","5.15","5.00","4.82","4.91","6.89","3.68","3.89","4.47","6.54"
"Belgium","World Drink Trend (WDT) 1963-1999; (FAO) 2000-2007; (Belgium, WHO) 2008-2015","All types","10.10","10.51","13.43","10.94","12.21","12.05","11.28","11.29","11.01","11.21"
"Belgium","World Drink Trend (WDT) 1963-1999; (FAO) 2000-2007; (Belgium, WHO) 2008-2015","Beer","4.94","5.04","5.21","5.60","6.05","5.93","6.12","6.07","6.07","6.15"
"Belgium","World Drink Trend (WDT) 1963-1999; (FAO) 2000-2007; (Belgium, WHO) 2008-2015","Wine","3.66","3.83","4.27","4.37","4.21","4.24","4.05","4.24","3.98","4.05"
"Belgium","World Drink Trend (WDT) 1963-1999; (FAO) 2000-2007; (Belgium, WHO) 2008-2015","Spirits","1.45","1.59","3.97","0.99","1.97","1.83","1.07","0.94","0.93","1.00"
"Belgium","World Drink Trend (WDT) 1963-1999; (FAO) 2000-2007; (Belgium, WHO) 2008-2015","Other alcoholic beverages","0.05","0.06","0.00","0.01","0.00","0.01","0.00","0.00","0.00","0.00"
"Belize","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","All types","6.44","6.95","6.99","6.28","6.10","6.07","5.63","4.92","4.77","4.70"
"Belize","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Beer","4.36","4.70","4.74","4.01","3.86","3.88","3.60","3.01","2.87","2.76"
"Belize","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Wine","0.17","0.23","0.22","0.19","0.18","0.16","0.16","0.16","0.15","0.14"
"Belize","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Spirits","1.73","1.87","1.91","1.98","2.01","2.03","1.77","1.74","1.75","1.77"
"Belize","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.18","0.15","0.13","0.11","0.05","0.00","0.10","0.01","0","0.03"
"Benin","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","1.26","1.38","1.23","1.29","1.24","1.25","1.46","1.34","1.39","1.44"
"Benin","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","0.64","0.64","0.56","0.54","0.52","0.54","0.71","0.74","0.67","0.54"
"Benin","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.20","0.16","0.17","0.17","0.14","0.12","0.12","0.10","0.12","0.12"
"Benin","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.15","0.26","0.10","0.19","0.16","0.16","0.19","0.02","0.13","0.31"
"Benin","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","0.26","0.32","0.39","0.39","0.42","0.43","0.44","0.48","0.48","0.47"
"Bhutan","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","All types","0.15","0.16","0.15","0.28","0.73","0.97","0.53","0.30","1.42","1.66"
"Bhutan","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Beer","0.12","0.13","0.12","0.26","0.36","0.63","0.49","0.29","1.42","1.66"
"Bhutan","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Bhutan","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Spirits","0.03","0.02","0.02","0.02","0.36","0.34","0.03","0","0","0"
"Bhutan","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Bolivia (Plurinational State of)","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","3.64","3.51","3.38","3.13","2.80","2.61","2.32","2.24","2.19","2.30"
"Bolivia (Plurinational State of)","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","2.94","2.79","2.55","2.34","2.13","1.99","1.69","1.58","1.54","1.67"
"Bolivia (Plurinational State of)","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","0.14","0.17","0.16","0.16","0.08","0.06","0.06","0.05","0.06","0.06"
"Bolivia (Plurinational State of)","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","0.53","0.54","0.67","0.62","0.58","0.56","0.57","0.61","0.58","0.56"
"Bolivia (Plurinational State of)","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.02","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00"
"Bosnia and Herzegovina","(FAO) 1987-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","4.69","5.03","5.03","4.72","4.50","4.38","4.29","4.08","4.11","3.87"
"Bosnia and Herzegovina","(FAO) 1987-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","3.53","3.82","3.79","3.60","3.38","3.08","2.94","2.73","2.69","2.64"
"Bosnia and Herzegovina","(FAO) 1987-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","0.46","0.47","0.49","0.38","0.36","0.34","0.34","0.32","0.41","0.22"
"Bosnia and Herzegovina","(FAO) 1987-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","0.58","0.60","0.60","0.59","0.62","0.83","0.88","0.89","0.87","0.87"
"Bosnia and Herzegovina","(FAO) 1987-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.13","0.14","0.14","0.15","0.14","0.14","0.14","0.14","0.14","0.14"
"Botswana","(FAO),1961-1999; (FAO, GlobalData, IWSR) 2000-2018","All types","5.36","7.52","6.87","7.14","6.38","4.91","5.63","6.43","5.50","5.38"
"Botswana","(FAO),1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Beer","2.28","2.17","2.65","2.65","2.58","2.48","2.51","2.62","2.71","2.31"
"Botswana","(FAO),1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Wine","0.71","1.14","1.83","1.43","0.91","0.45","0.46","0.53","0.23","0.34"
"Botswana","(FAO),1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Spirits","0.67","2.08","0.49","1.07","1.01","0","0.82","1.22","0.36","0.54"
"Botswana","(FAO),1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Other alcoholic beverages","1.70","2.13","1.90","1.99","1.86","1.98","1.84","2.06","2.20","2.19"
"Brazil","(WDT) 1963-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","6.95","6.83","6.91","6.93","6.76","6.70","6.84","7.02","7.18","7.30"
"Brazil","(WDT) 1963-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","3.91","3.61","3.60","3.53","3.34","3.21","3.18","3.32","3.35","3.34"
"Brazil","(WDT) 1963-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","0.29","0.27","0.28","0.30","0.33","0.28","0.28","0.30","0.29","0.31"
"Brazil","(WDT) 1963-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","2.72","2.92","3.00","3.07","3.06","3.18","3.35","3.37","3.50","3.62"
"Brazil","(WDT) 1963-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Brunei Darussalam","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","All types","0.24","0.65","0.83","0.63","0.14","0.09","0.11","0.12","0.44","0.35"
"Brunei Darussalam","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Beer","0.19","0.60","0.77","0.50","0.09","0.08","0.09","0.09","0.20","0.19"
"Brunei Darussalam","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01"
"Brunei Darussalam","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Spirits","0.05","0.05","0.06","0.11","0.05","0.01","0.02","0.03","0.23","0.15"
"Brunei Darussalam","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Other alcoholic beverages","0.00","0.00","0.00","0.02","0.00","0","0","0","0","0"
"Bulgaria","(WDT) 1963-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","10.53","10.73","10.66","10.18","10.22","10.70","10.92","10.80","11.07","10.26"
"Bulgaria","(WDT) 1963-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","4.02","4.40","4.41","3.96","3.55","3.54","3.53","3.52","3.51","3.50"
"Bulgaria","(WDT) 1963-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","1.63","1.49","1.48","1.37","1.68","1.80","2.51","2.34","2.74","2.05"
"Bulgaria","(WDT) 1963-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","4.83","4.79","4.73","4.80","4.92","5.30","4.83","4.88","4.77","4.65"
"Bulgaria","(WDT) 1963-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.05","0.05","0.05","0.05","0.06","0.06","0.06","0.06","0.06","0.06"
"Burkina Faso","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","5.52","5.47","5.55","5.67","5.87","5.51","5.57","5.48","5.53","4.51"
"Burkina Faso","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","0.46","0.46","0.45","0.44","0.44","0.42","0.41","0.41","0.39","0.40"
"Burkina Faso","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.08","0.07","0.07","0.09","0.09","0.10","0.07","0.08","0.08","0.08"
"Burkina Faso","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.14","0.13","0.20","0.50","0.43","0.17","0.21","0.27","0.23","0.29"
"Burkina Faso","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","4.83","4.81","4.82","4.63","4.90","4.82","4.87","4.72","4.83","3.74"
"Burundi","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","4.49","4.80","5.03","4.99","6.07","6.24","6.37","6.51","6.62","7.17"
"Burundi","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","1.45","1.48","1.50","1.47","1.25","1.26","1.20","1.07","1.05","1.53"
"Burundi","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.00","0.00","0.00","0.00","0.01","0.01","0.00","0.01","0.01","0.01"
"Burundi","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.00","0.00","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00"
"Burundi","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","3.04","3.31","3.52","3.50","4.80","4.98","5.17","5.44","5.56","5.63"
"Cote d'Ivoire","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","All types","0.99","0.97","0.91","0.81","0.85","0.85","4.65","4.56","4.67","4.65"
"Cote d'Ivoire","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Beer","0.61","0.64","0.66","0.61","0.65","0.62","0.62","0.51","0.53","0.56"
"Cote d'Ivoire","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Wine","0.29","0.26","0.19","0.16","0.16","0.19","0.34","0.35","0.31","0.27"
"Cote d'Ivoire","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Spirits","0.06","0.06","0.05","0.02","0.02","0.02","0.04","0.04","0.04","0.04"
"Cote d'Ivoire","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","3.64","3.65","3.79","3.78"
"Cabo Verde","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","All types","4.20","4.25","5.40","4.36","4.32","4.25","4.21","3.87","3.86","3.49"
"Cabo Verde","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Beer","2.22","1.99","2.06","1.96","2.19","1.90","2.32","2.08","2.12","2.09"
"Cabo Verde","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Wine","1.49","1.94","2.59","1.92","1.99","1.84","1.44","1.52","1.28","0.95"
"Cabo Verde","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Spirits","0.48","0.32","0.74","0.47","0.14","0.51","0.44","0.26","0.46","0.45"
"Cabo Verde","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Other alcoholic beverages","0.00","0","0.00","0.00","0","0","0.01","0.01","0","0"
"Cambodia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","1.42","1.35","1.29","1.18","1.10","0.90","0.84","0.75","0.62","0.60"
"Cambodia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","1.05","0.98","0.94","0.84","0.77","0.58","0.54","0.49","0.37","0.34"
"Cambodia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00"
"Cambodia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","0.37","0.36","0.35","0.34","0.33","0.32","0.30","0.26","0.25","0.26"
"Cambodia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Cameroon","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","5.72","5.50","5.22","5.10","4.90","4.69","4.60","4.54","4.38","3.89"
"Cameroon","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","2.80","2.37","2.19","2.15","2.17","2.50","2.45","2.44","2.35","2.14"
"Cameroon","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.08","0.08","0.07","0.08","0.09","0.08","0.08","0.08","0.09","0.09"
