Country Name,Year,Life Ladder,Rank
Slovakia,2013,5.936527252,17
Croatia,2013,5.885462761,18
Belarus,2013,5.876466274,19
Moldova,2013,5.75605917,20
Poland,2013,5.746131897,21
Lithuania,2013,5.595689297,22
Estonia,2013,5.367445946,23
North Macedonia,2013,5.186190605,24
Portugal,2013,5.157688141,25
Bosnia and Herzegovina,2013,5.123664379,26
Romania,2013,5.081584454,27
Montenegro,2013,5.074341774,28
Latvia,2013,5.069770336,29
Hungary,2013,4.914466858,30
Greece,2013,4.720251083,31
Ukraine,2013,4.710802555,32
Albania,2013,4.550647736,33
Bulgaria,2013,3.993020535,34
Denmark,2014,7.507559299,1
Switzerland,2014,7.492803574,2
Norway,2014,7.444470882,3
Finland,2014,7.384571075,4
Netherlands,2014,7.32118845,5
Sweden,2014,7.239147663,6
Ireland,2014,7.018379211,7
Germany,2014,6.984214306,8
Austria,2014,6.949999809,9
Luxembourg,2014,6.89112711,10
Belgium,2014,6.855329037,11
United Kingdom,2014,6.758147717,12
Czechia,2014,6.483729839,13
France,2014,6.466867924,14
Spain,2014,6.456477642,15
Slovakia,2014,6.1388731,16
Lithuania,2014,6.125723839,17
Italy,2014,6.026585102,18
Moldova,2014,5.917058468,19
Belarus,2014,5.812400818,20
Poland,2014,5.750282288,21
Latvia,2014,5.729115486,22
Romania,2014,5.726893425,23
Slovenia,2014,5.678395271,24
Estonia,2014,5.55598259,25
Croatia,2014,5.380692482,26
Montenegro,2014,5.282720566,27
Bosnia and Herzegovina,2014,5.248954296,28
North Macedonia,2014,5.203825951,29
Hungary,2014,5.18056345,30
Portugal,2014,5.12691164,31
Albania,2014,4.813763142,32
Greece,2014,4.75623703,33
Bulgaria,2014,4.438439846,34
Ukraine,2014,4.297329903,35
Norway,2015,7.603433609,1
Switzerland,2015,7.572136879,2
Denmark,2015,7.514424801,3
Iceland,2015,7.498070717,4
Finland,2015,7.447925568,5
Netherlands,2015,7.324437141,6
Sweden,2015,7.28892231,7
Austria,2015,7.07644701,8
Germany,2015,7.037137508,9
Belgium,2015,6.904219151,10
Ireland,2015,6.830125332,11
Luxembourg,2015,6.701571465,12
Czechia,2015,6.608017445,13
United Kingdom,2015,6.515445232,14
Spain,2015,6.380663395,15
France,2015,6.357625008,16
Slovakia,2015,6.162004471,17
Moldova,2015,6.017472267,18
Poland,2015,6.007021904,19
Latvia,2015,5.880597591,20
Italy,2015,5.847683907,21
Romania,2015,5.777491093,22
Slovenia,2015,5.740642071,23
Belarus,2015,5.718907833,24
Lithuania,2015,5.711378098,25
Estonia,2015,5.628908634,26
Greece,2015,5.622519016,27
Hungary,2015,5.34438324,28
Croatia,2015,5.205438137,29
Montenegro,2015,5.124921322,30
Bosnia and Herzegovina,2015,5.117177963,31
Portugal,2015,5.080866337,32
North Macedonia,2015,4.975589752,33
Bulgaria,2015,4.865401268,34
Albania,2015,4.606650829,35
Ukraine,2015,3.964542866,36
Finland,2016,7.659843445,1
Norway,2016,7.596331596,2
Denmark,2016,7.55778265,3
Netherlands,2016,7.540877342,4
Iceland,2016,7.510034561,5
Switzerland,2016,7.458519936,6
Sweden,2016,7.368744373,7
Austria,2016,7.048071861,8
Ireland,2016,7.04073143,9
Luxembourg,2016,6.967340946,10
Belgium,2016,6.948936462,11
Germany,2016,6.873763084,12
United Kingdom,2016,6.8242836,13
Czechia,2016,6.735627174,14
France,2016,6.475208759,15
Spain,2016,6.318612099,16
Poland,2016,6.162076473,17
Slovakia,2016,5.993163109,18
Romania,2016,5.96887064,19
Italy,2016,5.95452404,20
Latvia,2016,5.940446377,21
Slovenia,2016,5.936821461,22
Lithuania,2016,5.865552425,23
Estonia,2016,5.649675369,24
Moldova,2016,5.577784061,25
Hungary,2016,5.448901653,26
Portugal,2016,5.446637154,27
Croatia,2016,5.416875362,28
North Macedonia,2016,5.34574604,29
Montenegro,2016,5.304066181,30
Greece,2016,5.302619457,31
Bosnia and Herzegovina,2016,5.180865288,32
Belarus,2016,5.177899361,33
Bulgaria,2016,4.837560654,34
Albania,2016,4.511100769,35
Ukraine,2016,4.028690338,36
Finland,2017,7.788251877,1
Denmark,2017,7.593702316,2
Norway,2017,7.578744888,3
Iceland,2017,7.476213932,4
Switzerland,2017,7.473593235,5
Netherlands,2017,7.458965302,6
Austria,2017,7.293727875,7
Sweden,2017,7.286804676,8
United Kingdom,2017,7.103273392,9
Germany,2017,7.074324608,10
Luxembourg,2017,7.061380863,11
Ireland,2017,7.060155392,12
Belgium,2017,6.928347588,13
Czechia,2017,6.789567947,14
France,2017,6.635222435,15
Slovakia,2017,6.365509033,16
Lithuania,2017,6.272940636,17
Spain,2017,6.230173111,18
Poland,2017,6.201268196,19
Italy,2017,6.198870182,20
Slovenia,2017,6.166837692,21
Romania,2017,6.089904785,22
Hungary,2017,6.065038681,23
Latvia,2017,5.977817535,24
Estonia,2017,5.938395977,25
Portugal,2017,5.711499214,26
Montenegro,2017,5.614798546,27
Belarus,2017,5.552915096,28
Croatia,2017,5.343165874,29
Moldova,2017,5.325530529,30
North Macedonia,2017,5.233866692,31
Greece,2017,5.14824152,32
Bulgaria,2017,5.096901894,33
Bosnia and Herzegovina,2017,5.089902401,34
Albania,2017,4.639548302,35
Ukraine,2017,4.311067104,36
Finland,2018,7.85810709,1
Denmark,2018,7.648785591,2
Switzerland,2018,7.508586884,3
Netherlands,2018,7.463097095,4
Norway,2018,7.444262028,5
Austria,2018,7.396001816,6
Sweden,2018,7.374792099,7
Luxembourg,2018,7.242630959,8
United Kingdom,2018,7.233445168,9
Germany,2018,7.118364334,10
Czechia,2018,7.034165382,11
Ireland,2018,6.962335587,12
Belgium,2018,6.89217186,13
France,2018,6.665903568,14
Italy,2018,6.516526699,15
Spain,2018,6.513370991,16
Lithuania,2018,6.308878899,17
Slovenia,2018,6.249419212,18
Slovakia,2018,6.23511076,19
Romania,2018,6.150878906,20
Poland,2018,6.111485004,21
Estonia,2018,6.091302395,22
Hungary,2018,5.935770988,23
Portugal,2018,5.919822693,24
Latvia,2018,5.901154041,25
Bosnia and Herzegovina,2018,5.887401104,26
Moldova,2018,5.682277203,27
Montenegro,2018,5.650189877,28
Croatia,2018,5.536271095,29
Greece,2018,5.40928936,30
North Macedonia,2018,5.239834785,31
Belarus,2018,5.233769894,32
Bulgaria,2018,5.098813534,33
Albania,2018,5.004402637,34
Ukraine,2018,4.661909103,35
Finland,2019,7.780347824,1
Switzerland,2019,7.69422102,2
Denmark,2019,7.693003178,3
Iceland,2019,7.532504559,4
Norway,2019,7.442139626,5
Netherlands,2019,7.42526865,6
Luxembourg,2019,7.404015541,7
Sweden,2019,7.398092747,8
Ireland,2019,7.254841328,9
Austria,2019,7.195361137,10
United Kingdom,2019,7.157151222,11
Germany,2019,7.035472393,12
Belgium,2019,6.772138119,13
France,2019,6.689644337,14
Slovenia,2019,6.665273666,15
Spain,2019,6.457449436,16
Italy,2019,6.445416927,17
Slovakia,2019,6.243428707,18
Poland,2019,6.24209404,19
Romania,2019,6.129942417,20
Portugal,2019,6.095473289,21
Lithuania,2019,6.064097881,22
Estonia,2019,6.034641266,23
Bosnia and Herzegovina,2019,6.01552248,24
Hungary,2019,6.000259876,25
Latvia,2019,5.969753742,26
Greece,2019,5.952157497,27
Belarus,2019,5.821453094,28
Moldova,2019,5.803450584,29
Croatia,2019,5.625743866,30
Montenegro,2019,5.386024952,31
Bulgaria,2019,5.108438015,32
North Macedonia,2019,5.015485287,33
Albania,2019,4.995317936,34
Ukraine,2019,4.701762199,35
Finland,2020,7.889349937,1
Iceland,2020,7.575489521,2
Denmark,2020,7.514631271,3
Switzerland,2020,7.508435249,4
Netherlands,2020,7.504447937,5
Sweden,2020,7.314341068,6
Germany,2020,7.311897755,7
Norway,2020,7.290032387,8
Austria,2020,7.213489056,9
Ireland,2020,7.034930706,10
Czechia,2020,6.897091389,11
Belgium,2020,6.838760853,12
United Kingdom,2020,6.798177242,13
Romania,2020,6.785142422,14
France,2020,6.714111805,15
Slovakia,2020,6.519098282,16
Croatia,2020,6.507992268,17
Spain,2020,6.502175331,18
Italy,2020,6.488356113,19
Slovenia,2020,6.462076187,20
Estonia,2020,6.452563763,21
Lithuania,2020,6.39137888,22
Latvia,2020,6.229008675,23
Poland,2020,6.139455318,24
Hungary,2020,6.038049698,25
Moldova,2020,5.811628819,26
Greece,2020,5.787615776,27
Portugal,2020,5.767792225,28
Montenegro,2020,5.722162724,29
Bulgaria,2020,5.597723007,30
Bosnia and Herzegovina,2020,5.515816212,31
Albania,2020,5.364909649,32
Ukraine,2020,5.269675732,33
North Macedonia,2020,5.053664207,34
Finland,2021,7.794377804,1
Denmark,2021,7.698747158,2
Iceland,2021,7.564624786,3
Sweden,2021,7.439280033,4
Norway,2021,7.361573696,5
Switzerland,2021,7.327672482,6
Netherlands,2021,7.314151287,7
Austria,2021,7.079640865,8
Czechia,2021,6.942496777,9
Belgium,2021,6.881756306,10
United Kingdom,2021,6.866961956,11
Lithuania,2021,6.864572525,12
Ireland,2021,6.827651978,13
Slovenia,2021,6.761220932,14
Germany,2021,6.754523754,15
France,2021,6.656206608,16
Estonia,2021,6.553915501,17
Romania,2021,6.548725605,18
Spain,2021,6.469611168,19
Italy,2021,6.4667449,20
Slovakia,2021,6.418503761,21
Latvia,2021,6.353090763,22
Croatia,2021,6.286790371,23
Hungary,2021,6.226647854,24
Portugal,2021,6.183014393,25
Greece,2021,6.104214191,26
Poland,2021,5.978068829,27
Moldova,2021,5.959048748,28
Bosnia and Herzegovina,2021,5.748823166,29
North Macedonia,2021,5.534749985,30
Bulgaria,2021,5.421693325,31
Ukraine,2021,5.311355114,32
Albania,2021,5.25548172,33
Finland,2022,7.728998184,1
Denmark,2022,7.54496479,2
Iceland,2022,7.448794365,3
Sweden,2022,7.431214333,4
Netherlands,2022,7.38963604,5
Norway,2022,7.294604301,6
Luxembourg,2022,7.227934837,7
Lithuania,2022,7.037577152,8
Austria,2022,6.998997211,9
Switzerland,2022,6.883844376,10
Ireland,2022,6.869863987,11
Belgium,2022,6.856874466,12
Slovenia,2022,6.723397732,13
United Kingdom,2022,6.721779823,14
Czechia,2022,6.695077419,15
Poland,2022,6.666265011,16
France,2022,6.613806725,17
Germany,2022,6.608206749,18
Romania,2022,6.436973572,19
Estonia,2022,6.357114315,20
Spain,2022,6.336902142,21
Italy,2022,6.258476734,22
Latvia,2022,6.054838181,23
Portugal,2022,5.952542782,24
Greece,2022,5.90045929,25
Hungary,2022,5.861183167,26
Moldova,2022,5.686611652,27
Croatia,2022,5.578691483,28
Bulgaria,2022,5.378348827,29
Albania,2022,5.212213039,30
North Macedonia,2022,5.166881561,31
Ukraine,2022,4.63743639,32
